table,direction,product_code_id,product_code,location_role,location,currency,counterparty_agent_id,counterparty_carrier_id,lane_origin,lane_destination,rate_per_kg,rate_per_shipment,min_charge,max_charge,percent_rate,is_additive,weight_breaks,valid_from,valid_until,duplicate_routes,conflict
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,HIR,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,HIR,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,HKG,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,HKG,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,MNL,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,MNL,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,NAN,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,NAN,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,SIN,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,SIN,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,VLI,,15.00,,,,False,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1011,EXP-AWB,origin,POM,USD,,,POM,VLI,,15.00,,,,False,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,BNE,,105.00,,,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1020,EXP-CLEAR,origin,POM,AUD,,,POM,BNE,,130.00,,,,False,,2026-01-02,2026-12-31,3,True
